illness_id,description
18,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
97,Type 2 diabetes with common signs such as increased thirst and frequent urination.
65,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
9,Chronic obstructive pulmonary disease presenting with shortness of breath and wheezing.
43,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
63,"Peptic ulcer disease, resulting in sores in the lining of the stomach or small intestine."
18,Chronic obstructive pulmonary disease presenting with shortness of breath and wheezing.
2,"Peptic ulcer disease, resulting in sores in the lining of the stomach or small intestine."
60,"Seasonal influenza with symptoms including high fever, muscle aches, and fatigue."
16,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
75,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
98,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
38,"Seasonal influenza with symptoms including high fever, muscle aches, and fatigue."
9,"Common cold characterized by runny nose, cough, and fever."
55,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
79,"Seasonal influenza with symptoms including high fever, muscle aches, and fatigue."
79,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
67,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
41,Type 2 diabetes with common signs such as increased thirst and frequent urination.
82,"Common cold characterized by runny nose, cough, and fever."
75,"Seasonal influenza with symptoms including high fever, muscle aches, and fatigue."
97,"Peptic ulcer disease, resulting in sores in the lining of the stomach or small intestine."
75,Chronic obstructive pulmonary disease presenting with shortness of breath and wheezing.
38,"Depression, a mood disorder causing a persistent feeling of sadness and loss of interest."
93,"Peptic ulcer disease, resulting in sores in the lining of the stomach or small intestine."
29,"Depression, a mood disorder causing a persistent feeling of sadness and loss of interest."
24,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
55,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
91,Type 2 diabetes with common signs such as increased thirst and frequent urination.
58,Type 2 diabetes with common signs such as increased thirst and frequent urination.
62,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
39,"Seasonal influenza with symptoms including high fever, muscle aches, and fatigue."
42,"Peptic ulcer disease, resulting in sores in the lining of the stomach or small intestine."
18,"Hypertension, also known as high blood pressure, which can lead to severe complications."
35,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
28,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
82,Type 2 diabetes with common signs such as increased thirst and frequent urination.
3,Chronic obstructive pulmonary disease presenting with shortness of breath and wheezing.
15,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
85,"Peptic ulcer disease, resulting in sores in the lining of the stomach or small intestine."
99,"Common cold characterized by runny nose, cough, and fever."
74,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
52,Chronic obstructive pulmonary disease presenting with shortness of breath and wheezing.
1,"Depression, a mood disorder causing a persistent feeling of sadness and loss of interest."
21,"Common cold characterized by runny nose, cough, and fever."
83,Chronic obstructive pulmonary disease presenting with shortness of breath and wheezing.
16,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
45,"Hypertension, also known as high blood pressure, which can lead to severe complications."
18,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
35,Type 2 diabetes with common signs such as increased thirst and frequent urination.
21,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
74,"Depression, a mood disorder causing a persistent feeling of sadness and loss of interest."
26,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
12,Type 2 diabetes with common signs such as increased thirst and frequent urination.
53,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
100,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
10,Type 2 diabetes with common signs such as increased thirst and frequent urination.
24,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
83,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
70,"Seasonal influenza with symptoms including high fever, muscle aches, and fatigue."
69,Type 2 diabetes with common signs such as increased thirst and frequent urination.
17,Type 2 diabetes with common signs such as increased thirst and frequent urination.
18,"Peptic ulcer disease, resulting in sores in the lining of the stomach or small intestine."
35,"Seasonal influenza with symptoms including high fever, muscle aches, and fatigue."
93,"Hypertension, also known as high blood pressure, which can lead to severe complications."
66,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
36,"Common cold characterized by runny nose, cough, and fever."
94,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
36,"Hypertension, also known as high blood pressure, which can lead to severe complications."
62,"Seasonal influenza with symptoms including high fever, muscle aches, and fatigue."
80,"Seasonal influenza with symptoms including high fever, muscle aches, and fatigue."
1,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
57,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
27,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
11,"Asthma, a respiratory condition marked by spasms in the bronchi of the lungs."
65,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
87,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
56,"Seasonal influenza with symptoms including high fever, muscle aches, and fatigue."
55,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
82,Type 2 diabetes with common signs such as increased thirst and frequent urination.
83,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
70,Type 2 diabetes with common signs such as increased thirst and frequent urination.
2,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
24,"Hypertension, also known as high blood pressure, which can lead to severe complications."
4,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
15,Type 2 diabetes with common signs such as increased thirst and frequent urination.
41,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
39,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
51,"Seasonal influenza with symptoms including high fever, muscle aches, and fatigue."
72,Chronic obstructive pulmonary disease presenting with shortness of breath and wheezing.
17,Type 2 diabetes with common signs such as increased thirst and frequent urination.
83,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
91,"Depression, a mood disorder causing a persistent feeling of sadness and loss of interest."
75,"Coronary artery disease, caused by impaired blood flow to the heart muscle."
37,Chronic obstructive pulmonary disease presenting with shortness of breath and wheezing.
92,Chronic obstructive pulmonary disease presenting with shortness of breath and wheezing.
34,Chronic obstructive pulmonary disease presenting with shortness of breath and wheezing.
64,"Osteoarthritis, the most common form of arthritis, affecting joints and causing pain."
90,Type 2 diabetes with common signs such as increased thirst and frequent urination.
87,"Depression, a mood disorder causing a persistent feeling of sadness and loss of interest."
